"Setting","SourcePresent","SourceSHA256","TargetPresent","TargetSHA256","Policy","ApprovalStatus","Verification"
"MemorySettings.asset","True","a660cb9890d880df92f3b80fa40723f183cc5ef2cb3ecc850b366191f05834c7","True","1e8379a461b10ae09f3f696911088c16875d63e87ed5f2d95df9e1892703f9fd","Keep target unless platform measurements justify changes","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"NavMeshAreas.asset","True","deca65f3094943a1af148cf64fd6c0deb503219d12de0e172b7f948d07a8e6a8","True","80106cfa7e6181a1928b142c075f3e510d527441e3d79bc83590e4ac91e7cd66","Migrate numeric areas/costs only when referenced by gameplay","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"PackageManagerSettings.asset","True","f53a76c34026a88721f56804da9dabeaa9ce38186387c7b37604074cc362b145","True","a7dabba589abe7fc2b45bd3d3fba3fe9be97043492703f716da2d9131c13a807","Keep target registries; dependencies handled by compatibility matrix","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"Physics2DSettings.asset","True","502f68770d5e38d371909eb4d89be7ec89a583a1464194de57df63591eda45b2","True","e3cbdbf0be15244b7b67d2f07bdb8e8981911c11a8c7fe8035f5261272fec658","Field-level 2D physics and collision-matrix migration","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"PresetManager.asset","True","6ba879310e2be2e5ba18702578cda93b26b030ecd88e883fef22ab456a9f9697","True","29c125923fe6e29f90190d4fce1c82d660e7051546e2c9d02908d18c9cf2436c","Migrate only referenced presets","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"ProjectSettings.asset","True","a13550486b62bc1bdd9b842ddf211c51c1e9d349fadeb452364c581d2ab3efdd","True","1c44a524e319ea8731022c56e72684d4fd63b16bdd75b65d4a7812fadd07a6fe","Field-level merge only: identity, resolution, color/input/API/backend/identifiers/stripping","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"ProjectVersion.txt","True","a19ccf581503cd51c0f9d36cf68609d8368b0b7e14329476548bf3fbc1d6512d","True","b51164d22c4d2716ba8aee7f0b59d6b7dd0efa8552fd1db2a8c3b123fae3a1ec","Keep target; exact lock to 2022.3.62f3; never copy source file","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"QualitySettings.asset","True","b8dc2b35914f812f0c944ccd42ad51cf1c3441c96bf5a31f9e1c7473e2fcb57f","True","4c8a55dc9d5dc3aafa8946e928a6622161049b1901f36ea54eefb508382f1494","Field-level quality-tier and platform override comparison","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"SceneTemplateSettings.json","True","017f2e3f4c71e36d0b77cb5f84452fb363bf523b0779ae0b8d45e9c780c2883f","True","d983786fb35276642847feb98f87259be23343f2c3eccc001baa1b787f944615","Keep target unless source templates are required","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"ScriptableBuildPipeline.json","True","4532c5dc1530d7742b5625618bab6908074006d390a68f46a34183a11bbc7e0f","False","","Retain as Addressables compatibility candidate","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"ShaderGraphSettings.asset","True","733eb0b08f2d9e57a51cef99c450140b18ddd101065cad1b9cde9330899ed8c7","True","91b34076dbdb68e7ef980d06b89a53ee5e2afb72d3b60f5bd4041e6206395ed4","Follow approved render-pipeline decision","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"TagManager.asset","True","9234e7ac4d5cd6d4d21b26fbbb2530b754e87a147df38e852bf774ccf5179b44","True","8e18b1c820e9c09e16bbd1f1b7842e9fb3b0158a0921b0964e0b8fa12c6e2c01","Merge tags/layers/sorting layers by name and fixed index","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"TimelineSettings.asset","True","a7fd60886f1d831b464039b48cb494bdb4e84b86c7dfed5752a7e31235505583","False","","Migrate only if Timeline assets/calls are proven","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"TimeManager.asset","True","6c320ee59ae1e55aa74558f012437f63cb9de59d69fda62fc321c4f1971c52cb","True","1a83e54adbbda7c9f4851103a0c6ab7f6448a3343d4ea5b7620452fa08416ecd","Compare fixed/max timestep and timescale; keep target when equivalent","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"UnityConnectSettings.asset","True","ca3466f6d55df1ca5d8f04c64620742f8efc373b46be40819b5ba9657a8b53aa","True","d6034acbef6c9e3179866486c31eab81fcbe5e7ed350ce71e0fa2b1449b77109","Never copy cloud IDs/services; configure intentionally","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"URPProjectSettings.asset","False","","True","3e9d9f824875297ef6b9315fa7a3ac7ec1b047042395404a23c368fc971a8f3e","Keep target baseline; final render path pending parity tests","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"VersionControlSettings.asset","True","b693342eb84fb0378d21cd2a4557d900777709ad00c2ff5041c2d8451b6da246","True","e7bda45bf7a394745fee1316e6c71fa676004d591ad1f3aa247fd3e4ceb86071","Keep target Visible Meta Files workflow","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"VFXManager.asset","True","f16dbe4225de4b93b4b733cc8ec80a165b7b1c2e4c887bcacb785d9f27757bae","True","f066c6483919961332415ee64204f74fe52f38c02e82892eb02b7a5b2e381f0e","Migrate only if VFX Graph dependency is proven","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
"XRSettings.asset","True","71f175773593ba28d42bf1af0543b2a465e0316d3b8f435aebf48ea66b31b621","True","edd2beb4a2e388312b4b7da241aa51070434005d82c59363f1237dd2e567585f","Migrate only for approved XR target","Pending","Diff fields; import/build/play tests; never whole-file copy unless separately approved"
